bins,sample,covg,total,rel_abundance
Bin_24_3,R2Nov2019.sorted.bam,21,129949,0.0161601859190913
Bin_24_3,R2Sept2020.sorted.bam,142,244772,0.0580131714411779
Bin_24_4,R2Dec2019.sorted.bam,13,129596,0.0100311738016605
Bin_24_4,R2Feb2020.sorted.bam,1445,224838,0.642684955390103
Bin_24_4,R2Jan2020.sorted.bam,887,213553,0.415353565625395
Bin_24_4,R2July2020.sorted.bam,1431,271426,0.527215520989146
Bin_24_4,R2Mar2020.sorted.bam,280,188802,0.148303513733965
Bin_24_4,R2Nov2019.sorted.bam,1,129949,0.000769532662813873
Bin_24_4,R2Sept2020.sorted.bam,124,244772,0.0506593891458173
Bin_24_5,R2Dec2019.sorted.bam,33,129596,0.0254637488811383
Bin_24_5,R2Feb2020.sorted.bam,214,224838,0.0951796404522367
Bin_24_5,R2Jan2020.sorted.bam,114,213553,0.0533825326733879
Bin_24_5,R2July2020.sorted.bam,118,271426,0.0434740960703838
Bin_24_5,R2Mar2020.sorted.bam,73,188802,0.0386648446520694
Bin_24_5,R2Nov2019.sorted.bam,9,129949,0.00692579396532486
Bin_24_5,R2Sept2020.sorted.bam,23,244772,0.00939649959962741
Bin_25,R2Dec2019.sorted.bam,109,129596,0.0841075341831538
Bin_25,R2Feb2020.sorted.bam,7047,224838,3.13425666479865
Bin_25,R2Jan2020.sorted.bam,208,213553,0.0973997087374095
Bin_25,R2July2020.sorted.bam,9709,271426,3.57703388768946
Bin_25,R2Mar2020.sorted.bam,547,188802,0.289721507187424
Bin_25,R2Nov2019.sorted.bam,17,129949,0.0130820552678358
Bin_25,R2Sept2020.sorted.bam,13960,244772,5.70326671351298
Bin_26,R2Dec2019.sorted.bam,547,129596,0.422080928423717
Bin_26,R2Feb2020.sorted.bam,4019,224838,1.78750922886701
Bin_26,R2Jan2020.sorted.bam,562,213553,0.263166520723193
Bin_26,R2July2020.sorted.bam,3730,271426,1.37422354527569
Bin_26,R2Mar2020.sorted.bam,1418,188802,0.751051365981293
Bin_26,R2Nov2019.sorted.bam,745,129949,0.573301833796335
Bin_26,R2Sept2020.sorted.bam,5728,244772,2.34013694376808
Bin_27,R2Dec2019.sorted.bam,139,129596,0.10725639680237
Bin_27,R2Feb2020.sorted.bam,133,224838,0.0591537017763901
Bin_27,R2Jan2020.sorted.bam,65,213553,0.0304374089804405
Bin_27,R2July2020.sorted.bam,1616,271426,0.595374061438477
Bin_27,R2Mar2020.sorted.bam,53,188802,0.0280717365282147
Bin_27,R2Nov2019.sorted.bam,206,129949,0.158523728539658
Bin_27,R2Sept2020.sorted.bam,289,244772,0.118069060186623
Bin_4,R2Dec2019.sorted.bam,394,129596,0.304021729065712
Bin_4,R2Feb2020.sorted.bam,150,224838,0.0667147012515678
Bin_4,R2Jan2020.sorted.bam,227,213553,0.106296797516307
Bin_4,R2July2020.sorted.bam,215,271426,0.0792112767384112
Bin_4,R2Mar2020.sorted.bam,137,188802,0.0725627906484041
Bin_4,R2Nov2019.sorted.bam,580,129949,0.446328944432046
Bin_4,R2Sept2020.sorted.bam,312,244772,0.12746555978625
Bin_5,R2Dec2019.sorted.bam,171,129596,0.131948516929535
Bin_5,R2Feb2020.sorted.bam,8,224838,0.00355811740008362
Bin_5,R2Jan2020.sorted.bam,131,213553,0.0613430857913492
Bin_5,R2July2020.sorted.bam,107,271426,0.0394214260977209
Bin_5,R2Mar2020.sorted.bam,109,188802,0.0577324392750077
Bin_5,R2Nov2019.sorted.bam,568,129949,0.43709455247828
Bin_5,R2Sept2020.sorted.bam,186,244772,0.075989083718726
Bin_6,R2Dec2019.sorted.bam,7397,129596,5.70773789314485
Bin_6,R2Feb2020.sorted.bam,326,224838,0.144993284053407
Bin_6,R2Jan2020.sorted.bam,2715,213553,1.27134715972147
Bin_6,R2July2020.sorted.bam,666,271426,0.24537074561759
Bin_6,R2Mar2020.sorted.bam,622,188802,0.329445662651879
Bin_6,R2Nov2019.sorted.bam,7412,129949,5.70377609677643
Bin_6,R2Sept2020.sorted.bam,551,244772,0.225107446930204
Bin_7,R2Dec2019.sorted.bam,5210,129596,4.02018580820396
Bin_7,R2Feb2020.sorted.bam,153,224838,0.0680489952765991
Bin_7,R2Jan2020.sorted.bam,1554,213553,0.727688208547761
Bin_7,R2July2020.sorted.bam,1229,271426,0.452793763309337
Bin_7,R2Mar2020.sorted.bam,316,188802,0.167371108356903
Bin_7,R2Nov2019.sorted.bam,8292,129949,6.38096484005264
Bin_7,R2Sept2020.sorted.bam,393,244772,0.160557580115373
Bin_8,R2Dec2019.sorted.bam,19005,129596,14.6648044692737
Bin_8,R2Feb2020.sorted.bam,1416,224838,0.6297867798148
Bin_8,R2Jan2020.sorted.bam,7576,213553,3.54759708362795
Bin_8,R2July2020.sorted.bam,1557,271426,0.573637013403285
Bin_8,R2Mar2020.sorted.bam,1594,188802,0.844270717471213
Bin_8,R2Nov2019.sorted.bam,34498,129949,26.547337801753
Bin_8,R2Sept2020.sorted.bam,1790,244772,0.731292794927524
Bin_9,R2Dec2019.sorted.bam,13085,129596,10.0967622457483
Bin_9,R2Feb2020.sorted.bam,2365,224838,1.05186845639972
Bin_9,R2Jan2020.sorted.bam,5464,213553,2.55861542567887
Bin_9,R2July2020.sorted.bam,4195,271426,1.54554095775644
Bin_9,R2Mar2020.sorted.bam,2017,188802,1.06831495429074
Bin_9,R2Nov2019.sorted.bam,25725,129949,19.7962277508869
Bin_9,R2Sept2020.sorted.bam,2246,244772,0.917588613076659
