contigName	contigLen	totalAvgDepth	R1Dec2019.sorted.bam	R1Dec2019.sorted.bam-var	R1Feb2020.sorted.bam	R1Feb2020.sorted.bam-var	R1Jan2020.sorted.bam	R1Jan2020.sorted.bam-var	R1July2020.sorted.bam	R1July2020.sorted.bam-var	R1Mar2020.sorted.bam	R1Mar2020.sorted.bam-var	R1Nov2019.sorted.bam	R1Nov2019.sorted.bam-var	R1Sept2020.sorted.bam	R1Sept2020.sorted.bam-var	R2Dec2019.sorted.bam	R2Dec2019.sorted.bam-var	R2Feb2020.sorted.bam	R2Feb2020.sorted.bam-var	R2Jan2020.sorted.bam	R2Jan2020.sorted.bam-var	R2July2020.sorted.bam	R2July2020.sorted.bam-var	R2Mar2020.sorted.bam	R2Mar2020.sorted.bam-var	R2Nov2019.sorted.bam	R2Nov2019.sorted.bam-var	R2Sept2020.sorted.bam	R2Sept2020.sorted.bam-var
contig_948	108428	113.266	0.000193945	0.0001939	2.37859	6.63216	0.000443303	0.000442996	20.7676	106.682	9.31527	19.8988	0.000498716	0.000498265	11.9079	36.9181	0.00279835	0.00468872	15.3855	70.3485	0.000628013	0.000627233	21.9399	113.453	12.1191	31.0901	0.00112673	0.00112429	19.4469	70.2174
contig_745	3816	360.513	1.27305	10.7767	3.90917	6.76946	30.2785	491.462	65.3091	1313	19.0668	54.4343	0	0	53.6167	573.151	4.7144	78.1621	54.0698	444.322	35.1178	324.076	58.293	767.043	16.3723	53.7939	0	0	18.4926	76.5285
contig_2225	5555	215.37	4.92673	44.8523	37.9428	366.42	2.85254	44.954	30.528	218.455	3.07956	5.01989	0	0	48.3404	398.087	0.753191	7.0325	15.0383	52.2246	2.09547	11.2179	43.9789	375.743	2.53154	4.36151	0	0	23.3027	127.295
contig_1081	31517	38.4309	0.0968534	0.52551	1.07052	2.71432	0.155928	0.946686	6.25699	34.6794	0.868046	1.29198	0.111965	0.155998	4.65225	13.6176	0.192336	1.61204	4.55989	18.5379	0.245608	0.877353	8.37759	37.6661	1.5962	3.79194	0.0478528	0.0837888	10.1989	46.8337
contig_1368	13777	49.6559	1.67117	14.5438	34.1907	260.252	5.91546	73.1586	0.0110809	0.0109584	0.0221619	0.0271016	0	0	0	0	0.211492	1.95676	0.0566522	0.328744	0.889924	3.88031	2.36039	8.59906	0	0	0.000807221	0.000806905	4.32604	14.6721
contig_443	22087	438.127	7.20591	54.3997	9.84506	43.9406	6.2111	83.3241	100.892	3027	13.5517	63.6977	6.42075	26.5241	73.2782	1520.07	10.7874	187.465	51.4698	897.363	5.14213	26.6717	56.9876	1013.13	15.3087	81.9422	16.1157	160.08	64.9118	1213.21
contig_562	4159	35.6089	0	0	0.562484	1.27361	0.336742	2.91791	4.09578	29.797	3.85208	6.76372	0	0	6.86855	82.0648	0	0	4.35071	20.4598	0	0	4.62809	22.9997	4.57346	14.6834	0	0	6.34098	27.373
contig_2986	3323	5.10306	0	0	0	0	0	0	0	0	0.0945477	0.0856358	0	0	0	0	0	0	0.665616	1.41431	0	0	1.37504	2.20101	0.331863	0.791135	0	0	2.63599	5.80094
contig_493	9285	66.3465	5.69239	60.0085	6.11341	41.0993	3.89841	56.0143	3.52556	23.8113	3.49929	25.2215	3.86152	16.6894	3.40164	14.8088	6.01445	112.72	2.76606	11.5933	4.07947	42.3013	4.82989	34.7433	3.78862	16.2729	10.2131	97.4449	4.66262	19.9464
contig_2685	23327	32.94	0.254304	2.80511	2.00803	5.26166	0.615481	6.1725	6.4265	21.5307	1.18406	1.86809	0.24684	0.426881	2.38849	5.14999	0.96997	14.6381	3.57859	12.5128	1.3516	6.83186	7.31048	21.9318	1.78832	2.72882	1.2477	5.53356	3.56962	9.36823
contig_261	200900	3539.12	42.1307	5182.05	159.179	73001.7	104.097	30594.4	569.76	179535	89.3535	18102	6.86122	132.081	539.917	91624.8	49.3849	7561.92	518.563	106490	119.515	39179	518.324	145179	113.765	26150.6	8.92844	269.248	699.345	159729
contig_2242	8322	1668.44	62.3612	6989.35	259.168	115201	190.407	64002.5	121.618	38727.3	134.816	32802.2	10.3751	171.797	74.3331	34674.3	84.6867	11697.7	118.422	42182.8	221.359	87900.6	128.874	30247.2	164.028	47306	15.1096	395.665	82.8797	79943.1
contig_457	7668	59.4508	3.87616	24.1829	3.36339	9.48279	3.8763	54.0582	3.55001	10.3933	2.53897	4.59586	3.22599	5.94016	3.62131	7.03091	6.83719	76.0436	2.361	7.10651	4.33054	13.1621	5.12769	20.0742	2.98763	4.73369	9.58832	38.3067	4.16627	8.4809
contig_3491	18614	197.81	0	0	0.0332539	0.0647515	0.188096	2.13174	49.8632	617.803	13.2655	27.2301	0.000595754	0.000595165	10.2326	28.5171	0.25352	3.86878	50.4894	420.843	2.64482	12.0528	31.8672	249.094	25.6473	92.8203	0	0	13.3244	57.6765
contig_2959	13142	14.7155	0.505773	4.88235	5.26809	164.314	0.670105	7.63935	0.000846675	0.000846187	0.0463362	0.0441831	0	0	0	0	0.000769704	0.000769261	0.00107759	0.00107645	0.634313	1.96732	2.69489	6.03627	0.0925185	0.13014	0	0	4.8008	10.234
contig_3485	25283	2466.2	116.098	5280.82	447.572	73405	305.253	33785.1	143.934	22182.4	235.098	19767.1	16.8754	141.212	43.388	1745.73	140.234	8168.28	131.744	10375.1	355.501	42118.6	189.458	25766.7	282.73	28932.8	23.8765	365.652	34.4356	5186.15
contig_3080	8582	304.793	46.3559	2390.89	8.34986	68.9836	18.2144	542.203	1.96703	10.0721	2.85128	11.4007	48.3094	2852.46	1.59049	5.75654	56.5296	3201	2.53463	14.9902	19.3427	420.541	3.02621	13.7475	3.44473	14.3662	88.3649	7719.42	3.91141	18.7414
contig_1232	13822	8.72586	0.562463	2.82619	0.264043	0.381013	0.194997	2.59893	1.23179	2.96561	0.0661205	0.105792	0.164936	0.389514	1.46672	2.02134	1.18958	16.3583	0.662229	2.17909	0.538692	1.8377	0.319412	0.875854	0.107958	0.201981	0.909962	3.21454	1.04696	2.32222
contig_2134	8130	53.3252	6.47519	48.9296	2.59135	8.40481	1.37719	20.2545	2.65	5.35643	2.23935	3.68365	4.7287	12.0902	2.68559	6.02698	4.78797	67.7159	1.55539	7.28867	3.91667	28.2275	3.92769	8.23887	3.09762	6.95135	9.94348	40.7362	3.349	6.59187
contig_209	991	780.622	0	0	2.8918	5.12281	0.286564	0.516595	133.08	16857.6	4.72771	21.6627	0	0	170.788	25266.8	0	0	115.098	12042	0.078478	0.150976	114.218	12338.6	7.98216	74.8223	0.111772	0.211303	231.36	52948.7
contig_1639	3665	1629.78	7.19374	359.198	38.9348	9972.73	15.0134	1635.52	303.241	590246	20.1764	2637.76	3.43215	88.4525	224.213	259477	4.74822	171.88	316.835	627998	17.0822	2142.68	244.025	396364	24.6156	3915.99	7.95477	453.021	402.312	997849
contig_1851	29731	122.963	0.00037186	0.000371691	0.0207904	0.040797	0.0178155	0.0698157	22.4406	236.049	11.2252	21.9069	0.000709915	0.000709181	8.55738	20.1603	0.000811332	0.000810498	30.3478	284.795	3.64501	22.3809	14.0744	96.49	24.3799	72.4051	0	0	8.25263	34.922
contig_1002	5629	222.175	8.47983	77.9581	6.67896	19.5251	4.93356	68.0629	41.2561	165.098	6.82552	19.1494	4.98722	11.1083	30.9117	102.985	9.57967	146.385	25.6665	118.569	3.35116	22.3353	28.4068	139.835	7.05877	12.64	15.0274	66.9533	29.0119	173.005
contig_3017	9496	34.4714	0.00128397	0.00128271	0.130216	0.414355	0.00117697	0.00117565	5.59566	14.7251	0.705114	0.894042	0.306976	0.501691	2.8226	5.31038	0	0	4.24952	18.5783	0.0342392	0.0330607	11.4305	33.4122	0.791997	1.21875	0.664455	3.76579	7.73775	22.0508
